"Total inflow to Folsom Reservoir"										
"50 Year Avg"	"Max record"	"Min Record"	"April - July Forecast"	"Percent of Avg"	"80% Prob Range"	"Forecast Date"	"Observed Apr-Jul Runoff"	"Difference"		"(A2-B2)^2"
1261	3074	229	1040000	82	"600-1860"	1-Feb-2000	1108933	-68933	68933	4751758489
1261	3074	229	1430000	113	"1020-2150"	1-Mar-2000	1108933	321067	321067	103084018489
1261	3074	229	1170000	93	"960-1650"	1-Apr-2000	1108933	61067	61067	3729178489
1261	3074	229	1120000	89	"980-1310"	1-May-2000	1108933	11067	11067	122478489
1261	3074	229	740000	59	"400-1600"	1-Feb-2001	552626	187374	187374	35109015876
1261	3074	229	840000	67	"540-1550"	1-Mar-2001	552626	287374	287374	82583815876
1261	3074	229	580000	46	"400-1060"	1-Apr-2001	552626	27374	27374	749335876
1261	3074	229	670000	53	"540-840"	1-May-2001	552626	117374	117374	13776655876
1283	3074	229	1200000	94	"700-2100"	1-Feb-2002	973817	226183	226183	51158749489
1282	3074	229	1050000	82	"610-1760"	1-Mar-2002	973817	76183	76183	5803849489
1282	3074	229	1100000	86	"880-1580"	1-Apr-2002	973817	126183	126183	15922149489
1282	3074	229	1010000	79	"880-1180"	1-May-2002	973817	36183	36183	1309209489
1282	3074	229	1020000	80	"520-1920"	1-Feb-2003	1354434	-334434	334434	111846100356
1282	3074	229	810000	63	"390-1510"	1-Mar-2003	1354434	-544434	544434	296408380356
1282	3074	229	680000	53	"470-1160"	1-Apr-2003	1354434	-674434	674434	454861220356
1282	3074	229	1250000	97	"1120-1420"	1-May-2003	1354434	-104434	104434	10906460356
1282	3074	229	1170000	91	"670-2070"	1-Feb-2004	632159	537841	537841	289272941281
1282	3074	229	1280000	100	"840-1990"	1-Mar-2004	632159	647841	647841	419697961281
1282	3074	229	940000	73	"730-1420"	1-Apr-2004	632159	307841	307841	94766081281
1282	3074	229	750000	58	"620-920"	1-May-2004	632159	117841	117841	13886501281
1282	3074	229	1410000	110	"910-2160"	1-Feb-2005	2003878	-593878	593878	352691078884
1282	3074	229	1330000	104	"910-1980"	1-Mar-2005	2003878	-673878	673878	454111558884
1282	3074	229	1510000	118	"1300-1970"	1-Apr-2005	2003878	-493878	493878	243915478884
1282	3074	229	1500000	117	"1360-1690"	1-May-2005	2003878	-503878	503878	253893038884
1282	3074	229	1300000	101	"790-2200"	1-Feb-2006	2622387	-1322387	1322387	1748707377769
1282	3074	229	1150000	90	"710-1860"	1-Mar-2006	2622387	-1472387	1472387	2167923477769
1282	3074	229	1630000	127	"1400-2100"	1-Apr-2006	2622387	-992387	992387	984831957769
1282	3074	229	2440000	190	"2300-2640"	1-May-2006	2622387	-182387	182387	33265017769
1240	3074	229	660000	53	"310-1290"	1-Feb-2007	522651	137349	137349	18864747801
1240	3074	229	850000	69	"540-1390"	1-Mar-2007	522651	327349	327349	107157367801
1240	3074	229	590000	48	"430-940"	1-Apr-2007	522651	67349	67349	4535887801
1240	3074	229	530000	43	"430-670"	1-May-2007	522651	7349	7349	54007801
1240	3074	229	1150000	93	"600-2170"	1-Feb-2008	674287	475713	475713	226302858369
1240	3074	229	1160000	94	"720-1990"	1-Mar-2008	674287	485713	485713	235917118369
1240	3074	229	940000	76	"660-1590"	1-Apr-2008	674287	265713	265713	70603398369
1240	3074	229	760000	61	"590-960"	1-May-2008	674287	85713	85713	7346718369
1240	3074	229	790000	64	"320-1610"	1-Feb-2009	1068327	-278327	278327	77465918929
1240	3074	229	870000	70	"480-1600"	1-Mar-2009	1068327	-198327	198327	39333598929
1240	3074	229	1000000	81	"720-1610"	1-Apr-2009	1068327	-68327	68327	4668578929
1240	3074	229	920000	74	"750-1120"	1-May-2009	1068327	-148327	148327	22000898929
1240	3074	229	1080000	87	"550-2100"	1-Feb-2010	1486780	-406780	406780	165469968400
1240	3074	229	1010000	81	"560-1840"	1-Mar-2010	1486780	-476780	476780	227319168400
1240	3074	229	1050000	85	"770-1700"	1-Apr-2010	1486780	-436780	436780	190776768400
1240	3074	229	1360000	110	"1190-1560"	1-May-2010	1486780	-126780	126780	16073168400
										
							"MeanABSError"		341890.863636364	
							"Root Mean Squared Error"		468628.924304527	
