"BASIN_NUM","ELEVATION","STATION_ID","LATITUDE","AMONTH","AVERAGE"
"7701","5280","BYM","39.283","0","62.67"
"7701","5280","BYM","39.283","1","12.42"
"7701","5280","BYM","39.283","2","9.75"
"7701","5280","BYM","39.283","3","8.5"
"7701","5280","BYM","39.283","4","5.01"
"7701","5280","BYM","39.283","5","2.72"
"7701","5280","BYM","39.283","6","0.88"
"7701","5280","BYM","39.283","7","0.21"
"7701","5280","BYM","39.283","8","0.35"
"7701","5280","BYM","39.283","9","0.74"
"7701","5280","BYM","39.283","10","3.75"
"7701","5280","BYM","39.283","11","7.88"
"7701","5280","BYM","39.283","12","10.46"
"7701","8000","CPT","38.7","0","48.26"
"7701","8000","CPT","38.7","1","8.89"
"7701","8000","CPT","38.7","2","7.4"
"7701","8000","CPT","38.7","3","6.77"
"7701","8000","CPT","38.7","4","4.08"
"7701","8000","CPT","38.7","5","2.27"
"7701","8000","CPT","38.7","6","1.16"
"7701","8000","CPT","38.7","7","0.65"
"7701","8000","CPT","38.7","8","0.66"
"7701","8000","CPT","38.7","9","0.81"
"7701","8000","CPT","38.7","10","2.45"
"7701","8000","CPT","38.7","11","5.29"
"7701","8000","CPT","38.7","12","7.83"
"8201","2160","FDD","38.533","0","34.83"
"8201","2160","FDD","38.533","1","6.88"
"8201","2160","FDD","38.533","2","5.79"
"8201","2160","FDD","38.533","3","5.32"
"8201","2160","FDD","38.533","4","2.74"
"8201","2160","FDD","38.533","5","1.18"
"8201","2160","FDD","38.533","6","0.4"
"8201","2160","FDD","38.533","7","0.1"
"8201","2160","FDD","38.533","8","0.12"
"8201","2160","FDD","38.533","9","0.44"
"8201","2160","FDD","38.533","10","1.91"
"8201","2160","FDD","38.533","11","4.08"
"8201","2160","FDD","38.533","12","5.87"
"7701","3001","GRG","38.933","0","53.16"
"7701","3001","GRG","38.933","1","10.94"
"7701","3001","GRG","38.933","2","8.76"
"7701","3001","GRG","38.933","3","7.66"
"7701","3001","GRG","38.933","4","4.36"
"7701","3001","GRG","38.933","5","1.87"
"7701","3001","GRG","38.933","6","0.67"
"7701","3001","GRG","38.933","7","0.15"
"7701","3001","GRG","38.933","8","0.16"
"7701","3001","GRG","38.933","9","0.64"
"7701","3001","GRG","38.933","10","2.9"
"7701","3001","GRG","38.933","11","6.21"
"7701","3001","GRG","38.933","12","8.84"
"7701","3400","PCF","38.765","0","50.24"
"7701","3400","PCF","38.765","1","9.92"
"7701","3400","PCF","38.765","2","8.17"
"7701","3400","PCF","38.765","3","7.49"
"7701","3400","PCF","38.765","4","4.23"
"7701","3400","PCF","38.765","5","1.92"
"7701","3400","PCF","38.765","6","0.68"
"7701","3400","PCF","38.765","7","0.18"
"7701","3400","PCF","38.765","8","0.23"
"7701","3400","PCF","38.765","9","0.64"
"7701","3400","PCF","38.765","10","2.65"
"7701","3400","PCF","38.765","11","5.71"
"7701","3400","PCF","38.765","12","8.42"
"7701","1850","PCV","38.7","0","38.12"
"7701","1850","PCV","38.7","1","7.33"
"7701","1850","PCV","38.7","2","6.26"
"7701","1850","PCV","38.7","3","5.61"
"7701","1850","PCV","38.7","4","3.34"
"7701","1850","PCV","38.7","5","1.44"
"7701","1850","PCV","38.7","6","0.46"
"7701","1850","PCV","38.7","7","0.12"
"7701","1850","PCV","38.7","8","0.11"
"7701","1850","PCV","38.7","9","0.39"
"7701","1850","PCV","38.7","10","2.12"
"7701","1850","PCV","38.7","11","4.46"
"7701","1850","PCV","38.7","12","6.48"
"10601","6230","TAC","39.167","0","30.98"
"10601","6230","TAC","39.167","1","6.18"
"10601","6230","TAC","39.167","2","4.94"
"10601","6230","TAC","39.167","3","3.79"
"10601","6230","TAC","39.167","4","2.12"
"10601","6230","TAC","39.167","5","1.21"
"10601","6230","TAC","39.167","6","0.63"
"10601","6230","TAC","39.167","7","0.28"
"10601","6230","TAC","39.167","8","0.31"
"10601","6230","TAC","39.167","9","0.47"
"10601","6230","TAC","39.167","10","1.9"
"10601","6230","TAC","39.167","11","3.46"
"10601","6230","TAC","39.167","12","5.69"
"10501","6020","TKE","39.333","0","31.3"
"10501","6020","TKE","39.333","1","6.25"
"10501","6020","TKE","39.333","2","4.94"
"10501","6020","TKE","39.333","3","4.04"
"10501","6020","TKE","39.333","4","2.25"
"10501","6020","TKE","39.333","5","1.37"
"10501","6020","TKE","39.333","6","0.64"
"10501","6020","TKE","39.333","7","0.39"
"10501","6020","TKE","39.333","8","0.34"
"10501","6020","TKE","39.333","9","0.45"
"10501","6020","TKE","39.333","10","1.77"
"10501","6020","TKE","39.333","11","3.36"
"10501","6020","TKE","39.333","12","5.5"

